# BINNING-AGE: MIN=-0.01 BINWIDTH=0.02
# GP-LABEL-AGE: Age / Myr
# 1: AGE / Myr	2: probability
17.62	3.85487e-04
17.64	3.85035e-04
17.66	3.85188e-04
17.68	3.85057e-04
17.7	3.84831e-04
17.72	3.84777e-04
17.74	3.84728e-04
17.76	3.84713e-04
17.78	3.84492e-04
17.8	3.84681e-04
17.82	3.84495e-04
17.84	3.81734e-04
17.86	3.80650e-04
17.88	3.80372e-04
17.9	3.79913e-04
17.92	3.79655e-04
17.94	3.79593e-04
17.96	3.79326e-04
17.98	3.79265e-04
18	3.78833e-04
18.02	3.78770e-04
18.04	3.78521e-04
18.06	3.78496e-04
18.08	3.78225e-04
18.1	3.77996e-04
18.12	3.77930e-04
18.14	3.78003e-04
18.16	3.77747e-04
18.18	3.77690e-04
18.2	3.77484e-04
18.22	3.77423e-04
18.24	3.77379e-04
18.26	3.77324e-04
18.28	3.77090e-04
18.3	3.77253e-04
18.32	3.77017e-04
18.34	3.76818e-04
18.36	3.74392e-04
18.38	3.73683e-04
18.4	3.72775e-04
18.42	3.72485e-04
18.44	3.72420e-04
18.46	3.72354e-04
18.48	3.72075e-04
18.5	3.72012e-04
18.52	3.71537e-04
18.54	3.71500e-04
18.56	3.70751e-04
18.58	3.70901e-04
18.6	3.70822e-04
18.62	3.70555e-04
18.64	3.70283e-04
18.66	3.70261e-04
18.68	3.70197e-04
18.7	3.70142e-04
18.72	3.69876e-04
18.74	3.69814e-04
18.76	3.69965e-04
18.78	3.69685e-04
18.8	3.69652e-04
18.82	3.69809e-04
18.84	3.69351e-04
18.86	3.69318e-04
18.88	3.69287e-04
18.9	3.67042e-04
18.92	3.66285e-04
18.94	3.65567e-04
18.96	3.64830e-04
18.98	3.64754e-04
19	3.64679e-04
19.02	3.64514e-04
19.04	3.64216e-04
19.06	3.64144e-04
19.08	3.63902e-04
19.1	3.63197e-04
19.12	3.63116e-04
19.14	3.62864e-04
19.16	3.62590e-04
19.18	3.62733e-04
19.2	3.62660e-04
19.22	3.62378e-04
19.24	3.62532e-04
19.26	3.62453e-04
19.28	3.62187e-04
19.3	3.62110e-04
19.32	3.62263e-04
19.34	3.62192e-04
19.36	3.61727e-04
19.38	3.61658e-04
19.4	3.61607e-04
19.42	3.61533e-04
19.44	3.61478e-04
19.46	3.61448e-04
19.48	3.59029e-04
19.5	3.58043e-04
19.52	3.57514e-04
19.54	3.57430e-04
19.56	3.56886e-04
19.58	3.56573e-04
19.6	3.56487e-04
19.62	3.56443e-04
19.64	3.55966e-04
19.66	3.55435e-04
19.68	3.55584e-04
19.7	3.55059e-04
19.72	3.54771e-04
19.74	3.54687e-04
19.76	3.54600e-04
19.78	3.54746e-04
19.8	3.54892e-04
19.82	3.54810e-04
19.84	3.54510e-04
19.86	3.53995e-04
19.88	3.53943e-04
19.9	3.53892e-04
19.92	3.53800e-04
19.94	3.53954e-04
19.96	3.53575e-04
19.98	3.53267e-04
20	3.53405e-04
20.02	3.53569e-04
20.04	3.53494e-04
20.06	3.53221e-04
20.08	3.50847e-04
20.1	3.50269e-04
20.12	3.49704e-04
20.14	3.49153e-04
20.16	3.48661e-04
20.18	3.48572e-04
20.2	3.47805e-04
20.22	3.47708e-04
20.24	3.47850e-04
20.26	3.47531e-04
20.28	3.47439e-04
20.3	3.47141e-04
20.32	3.46603e-04
20.34	3.46747e-04
20.36	3.46645e-04
20.38	3.46552e-04
20.4	3.46458e-04
20.42	3.46395e-04
20.44	3.46541e-04
20.46	3.45921e-04
20.48	3.45842e-04
20.5	3.45289e-04
20.52	3.45433e-04
20.54	3.45360e-04
20.56	3.45259e-04
20.58	3.45404e-04
20.6	3.45328e-04
20.62	3.45253e-04
20.64	3.45153e-04
20.66	3.45304e-04
20.68	3.45016e-04
20.7	3.44761e-04
20.72	3.41825e-04
20.74	3.41473e-04
20.76	3.41121e-04
20.78	3.40779e-04
20.8	3.40226e-04
20.82	3.40127e-04
20.84	3.40028e-04
20.86	3.39445e-04
20.88	3.39337e-04
20.9	3.39263e-04
20.92	3.38942e-04
20.94	3.38837e-04
20.96	3.38503e-04
20.98	3.38395e-04
21	3.37988e-04
21.02	3.37876e-04
21.04	3.37808e-04
21.06	3.37710e-04
21.08	3.37605e-04
21.1	3.37526e-04
21.12	3.37410e-04
21.14	3.37317e-04
21.16	3.37015e-04
21.18	3.36666e-04
21.2	3.36810e-04
21.22	3.36947e-04
21.24	3.36842e-04
21.26	3.36987e-04
21.28	3.36681e-04
21.3	3.36596e-04
21.32	3.36062e-04
21.34	3.36211e-04
21.36	3.36145e-04
21.38	3.34107e-04
21.4	3.33011e-04
21.42	3.32395e-04
21.44	3.32284e-04
21.46	3.32173e-04
21.48	3.31312e-04
21.5	3.31461e-04
21.52	3.31344e-04
21.54	3.31243e-04
21.56	3.30087e-04
21.58	3.30011e-04
21.6	3.29886e-04
21.62	3.30013e-04
21.64	3.29898e-04
21.66	3.29330e-04
21.68	3.29210e-04
21.7	3.29108e-04
21.72	3.28993e-04
21.74	3.29126e-04
21.76	3.29274e-04
21.78	3.28676e-04
21.8	3.28582e-04
21.82	3.28732e-04
21.84	3.28382e-04
21.86	3.28060e-04
21.88	3.27947e-04
21.9	3.27831e-04
21.92	3.27961e-04
21.94	3.27877e-04
21.96	3.27760e-04
21.98	3.27900e-04
22	3.27812e-04
22.02	3.27454e-04
22.04	3.27107e-04
22.06	3.27033e-04
22.08	3.27182e-04
22.1	3.27348e-04
22.12	3.24985e-04
22.14	3.23991e-04
22.16	3.23607e-04
22.18	3.23223e-04
22.2	3.22381e-04
22.22	3.22250e-04
22.24	3.21893e-04
22.26	3.21796e-04
22.28	3.21417e-04
22.3	3.21034e-04
22.32	3.20948e-04
22.34	3.20816e-04
22.36	3.20957e-04
22.38	3.20585e-04
22.4	3.20464e-04
22.42	3.20332e-04
22.44	3.20219e-04
22.46	3.20095e-04
22.48	3.19543e-04
22.5	3.19677e-04
22.52	3.19289e-04
22.54	3.19412e-04
22.56	3.19556e-04
22.58	3.18961e-04
22.6	3.18848e-04
22.62	3.18983e-04
22.64	3.18596e-04
22.66	3.18726e-04
22.68	3.18853e-04
22.7	3.18494e-04
22.72	3.18629e-04
22.74	3.18525e-04
22.76	3.18309e-04
22.78	3.17683e-04
22.8	3.17821e-04
22.82	3.17957e-04
22.84	3.18102e-04
22.86	3.17760e-04
22.88	3.17930e-04
22.9	3.15766e-04
22.92	3.14559e-04
