# BINNING-MINI: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MINI: M_{ini} / M_{/CMSY10 \014}
# 1: MINI / Msun	2: probability
229.2	3.05684e-07
229.4	3.04802e-07
229.6	3.03847e-07
229.8	3.03061e-07
230	3.02361e-07
230.2	3.01485e-07
230.4	3.00564e-07
230.6	2.99787e-07
230.8	2.99017e-07
231	2.98156e-07
231.2	2.97315e-07
231.4	2.96478e-07
231.6	2.95722e-07
231.8	2.94873e-07
232	2.94041e-07
232.2	2.93293e-07
232.4	2.92543e-07
232.6	2.91552e-07
232.8	2.90737e-07
233	2.90000e-07
233.2	2.89263e-07
233.4	2.88356e-07
233.6	2.87625e-07
233.8	2.86904e-07
234	2.86107e-07
234.2	2.85294e-07
234.4	2.84492e-07
234.6	2.83772e-07
234.8	2.82892e-07
235	2.82095e-07
235.2	2.81317e-07
235.4	2.80453e-07
235.6	2.79752e-07
235.8	2.78959e-07
236	2.78259e-07
236.2	2.77568e-07
236.4	2.76788e-07
236.6	2.76025e-07
236.8	2.75137e-07
237	2.74377e-07
237.2	2.73689e-07
237.4	2.72928e-07
237.6	2.72245e-07
237.8	2.71571e-07
238	2.70740e-07
238.2	2.69982e-07
238.4	2.69169e-07
238.6	2.68499e-07
238.8	2.67836e-07
239	2.67172e-07
239.2	2.66434e-07
239.4	2.65696e-07
239.6	2.65044e-07
239.8	2.64388e-07
240	2.63668e-07
240.2	2.62945e-07
240.4	2.62298e-07
