# BINNING-MACT: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MACT: M_{act} / M_{/CMSY10 \014}
# 1: MACT / Msun	2: probability
163	7.35263e-07
163.2	7.25431e-07
163.4	7.30017e-07
163.6	7.27582e-07
163.8	7.22390e-07
164	7.20833e-07
164.2	7.17869e-07
164.4	7.07081e-07
164.6	7.09656e-07
164.8	6.99525e-07
165	7.02321e-07
165.2	6.95960e-07
165.4	7.00085e-07
165.6	6.86570e-07
165.8	6.87175e-07
166	6.83211e-07
166.2	6.74732e-07
166.4	6.77532e-07
166.6	6.75838e-07
166.8	6.71053e-07
167	6.65139e-07
167.2	6.67304e-07
167.4	6.73699e-07
167.6	6.63253e-07
167.8	6.54917e-07
168	6.60978e-07
168.2	6.54127e-07
168.4	6.51857e-07
168.6	6.50974e-07
168.8	6.45917e-07
169	6.50404e-07
169.2	6.40204e-07
169.4	6.35228e-07
169.6	6.30817e-07
169.8	6.28053e-07
170	6.24507e-07
170.2	6.20104e-07
170.4	6.20345e-07
170.6	6.24799e-07
170.8	6.15877e-07
171	6.07689e-07
171.2	6.11788e-07
171.4	6.08507e-07
171.6	5.97883e-07
171.8	6.00867e-07
172	5.99583e-07
172.2	5.96913e-07
172.4	5.93011e-07
172.6	5.93149e-07
172.8	5.90665e-07
173	5.86163e-07
173.2	5.86241e-07
173.4	5.85700e-07
173.6	5.81871e-07
173.8	5.76341e-07
174	5.74555e-07
174.2	5.69183e-07
174.4	5.69791e-07
174.6	5.75477e-07
174.8	5.64810e-07
175	5.64728e-07
175.2	5.61015e-07
175.4	5.53306e-07
175.6	5.51256e-07
175.8	5.49853e-07
176	5.46327e-07
176.2	5.55843e-07
176.4	5.47390e-07
176.6	5.43867e-07
176.8	5.40084e-07
177	5.38272e-07
177.2	5.40262e-07
177.4	5.36257e-07
177.6	5.37152e-07
177.8	5.26827e-07
178	5.30324e-07
178.2	5.22470e-07
178.4	5.21316e-07
178.6	5.16543e-07
178.8	5.20389e-07
179	5.14675e-07
179.2	5.14600e-07
179.4	5.10397e-07
179.6	5.08399e-07
179.8	5.06437e-07
180	5.07985e-07
180.2	5.03631e-07
180.4	4.95107e-07
180.6	4.94877e-07
180.8	4.98304e-07
181	4.97045e-07
181.2	4.98738e-07
181.4	4.91689e-07
181.6	4.93176e-07
181.8	4.90170e-07
182	4.87032e-07
182.2	4.86267e-07
182.4	4.78181e-07
182.6	4.81562e-07
182.8	4.76351e-07
183	4.74713e-07
183.2	4.70692e-07
183.4	4.69822e-07
183.6	4.70969e-07
183.8	4.66937e-07
184	4.63766e-07
184.2	4.64072e-07
184.4	4.59882e-07
184.6	4.63948e-07
184.8	4.54151e-07
185	4.55435e-07
185.2	4.53143e-07
185.4	4.54290e-07
185.6	4.55724e-07
185.8	4.48366e-07
186	4.44308e-07
186.2	4.45263e-07
186.4	4.40345e-07
186.6	4.42150e-07
186.8	4.38427e-07
187	4.36636e-07
187.2	4.35500e-07
187.4	4.29066e-07
187.6	4.33040e-07
187.8	4.31857e-07
188	4.28670e-07
188.2	4.27886e-07
188.4	4.25571e-07
188.6	4.26439e-07
188.8	4.23647e-07
189	4.18457e-07
189.2	4.17528e-07
189.4	4.17284e-07
189.6	4.15992e-07
189.8	4.16178e-07
190	4.09822e-07
190.2	4.09296e-07
190.4	4.12699e-07
190.6	4.14869e-07
190.8	4.10953e-07
191	4.02384e-07
191.2	4.07962e-07
191.4	4.00204e-07
191.6	4.01636e-07
191.8	3.98393e-07
192	3.96124e-07
192.2	3.96266e-07
192.4	3.88813e-07
192.6	3.90936e-07
192.8	3.89879e-07
193	3.82445e-07
193.2	3.82424e-07
193.4	3.81297e-07
193.6	3.80029e-07
193.8	3.81939e-07
194	3.77790e-07
194.2	3.75684e-07
194.4	3.77241e-07
194.6	3.76261e-07
194.8	3.79005e-07
195	3.77498e-07
195.2	3.74186e-07
195.4	3.74040e-07
195.6	3.70336e-07
195.8	3.69807e-07
196	3.68477e-07
196.2	3.66673e-07
196.4	3.69125e-07
196.6	3.67090e-07
196.8	3.64378e-07
197	3.60544e-07
197.2	3.57907e-07
197.4	3.59902e-07
197.6	3.54979e-07
197.8	3.52278e-07
198	3.53329e-07
198.2	3.49925e-07
198.4	3.50016e-07
198.6	3.44604e-07
198.8	3.42235e-07
199	3.41398e-07
199.2	3.43277e-07
199.4	3.42107e-07
199.6	3.38155e-07
199.8	3.37752e-07
200	3.34934e-07
200.2	3.32911e-07
200.4	3.36323e-07
200.6	3.33573e-07
200.8	3.33422e-07
201	3.32709e-07
201.2	3.32033e-07
201.4	3.32822e-07
201.6	3.33603e-07
201.8	3.30202e-07
202	3.31249e-07
202.2	3.34156e-07
202.4	3.30725e-07
202.6	3.30366e-07
202.8	3.27133e-07
203	3.18839e-07
203.2	3.20278e-07
203.4	3.13030e-07
203.6	3.17624e-07
203.8	3.15381e-07
204	3.16850e-07
204.2	3.15497e-07
204.4	3.14001e-07
204.6	3.09533e-07
204.8	3.07148e-07
205	3.06491e-07
205.2	3.04114e-07
205.4	3.05598e-07
205.6	3.02730e-07
205.8	3.00257e-07
206	2.97890e-07
206.2	3.00062e-07
206.4	2.99256e-07
206.6	2.96889e-07
206.8	2.97693e-07
207	2.95167e-07
207.2	2.95284e-07
207.4	2.96880e-07
207.6	2.93635e-07
207.8	2.95902e-07
208	2.96543e-07
208.2	3.01046e-07
208.4	2.97904e-07
208.6	2.94191e-07
208.8	2.90019e-07
209	2.92721e-07
209.2	2.89109e-07
209.4	2.86120e-07
209.6	2.81883e-07
209.8	2.81972e-07
210	2.83375e-07
210.2	2.81143e-07
210.4	2.80265e-07
210.6	2.83343e-07
210.8	2.80850e-07
211	2.77888e-07
211.2	2.75009e-07
211.4	2.76269e-07
211.6	2.73033e-07
211.8	2.71289e-07
212	2.71148e-07
212.2	2.68120e-07
212.4	2.68307e-07
212.6	2.70659e-07
212.8	2.68402e-07
213	2.65999e-07
213.2	2.65767e-07
213.4	2.64822e-07
213.6	2.67735e-07
213.8	2.64133e-07
214	2.66775e-07
214.2	2.65055e-07
214.4	2.65189e-07
214.6	2.64899e-07
214.8	2.60452e-07
215	2.57747e-07
215.2	2.62638e-07
215.4	2.56756e-07
215.6	2.59594e-07
215.8	2.56331e-07
